ID,SchYear,State,Sport,Boys_Schools,Girls_Schools,Boys_Participation,Girls_Participation
42532,2015/2016,IN,Adapted Basketball,0,0,0,0
42533,2015/2016,IN,Adapted Bowling,0,0,0,0
42534,2015/2016,IN,Adapted Floor Hockey,0,0,0,0
42535,2015/2016,IN,Adapted Soccer,0,0,0,0
42536,2015/2016,IN,Adapted Softball,0,0,0,0
42537,2015/2016,IN,Adapted Track,0,0,0,0
42538,2015/2016,IN,Air Riflery,0,0,0,0
42539,2015/2016,IN,Archery,0,0,0,0
42540,2015/2016,IN,Badminton,0,0,0,0
42541,2015/2016,IN,Adapted Bocce - Indoor,0,0,0,0
42542,2015/2016,PA,Adapted Basketball,0,0,0,0
42543,2015/2016,PA,Adapted Bowling,0,0,0,0
42544,2015/2016,PA,Adapted Floor Hockey,0,0,0,0
42545,2015/2016,PA,Adapted Soccer,0,0,0,0
42546,2015/2016,PA,Adapted Softball,0,0,0,0
42547,2015/2016,PA,Adapted Track,0,0,0,0
42548,2015/2016,PA,Air Riflery,0,0,0,0
42549,2015/2016,PA,Archery,0,0,0,0
42550,2015/2016,PA,Badminton,0,0,0,0
42551,2015/2016,PA,Adapted Bocce - Indoor,0,0,0,0
42552,2015/2016,PA,Baseball,664,0,21248,0
42553,2015/2016,PA,Basketball,719,711,21570,21330
42554,2015/2016,PA,Bowling,145,141,1450,1410
42555,2015/2016,PA,Competitive Spirit Squad,0,310,0,4650
42556,2015/2016,PA,Crew,0,0,0,0
42557,2015/2016,PA,Cross Country,570,572,11400,11440
42558,2015/2016,PA,DANCE,0,0,0,0
42559,2015/2016,PA,Canoe Paddling,0,0,0,0
42560,2015/2016,PA,Bocce - Outdoor,0,0,0,0
42561,2015/2016,PA,Cycling,0,0,0,0
42562,2015/2016,PA,"Dance Team, High Kick",0,0,0,0
42563,2015/2016,PA,"Dance Team, Jazz",0,0,0,0
42564,2015/2016,PA,Dance/Drill,0,0,0,0
42565,2015/2016,PA,Decathlon,0,0,0,0
42566,2015/2016,PA,Drill Team,0,0,0,0
42567,2015/2016,PA,Equestrian,0,0,0,0
42568,2015/2016,PA,Fencing,0,0,0,0
42569,2015/2016,PA,Field Hockey,0,281,0,9835
42570,2015/2016,PA,Flag Football,0,0,0,0
